numero_ej,nom_du_projet,nom_fournisseur,montant_engage,numero_ds,source
2104441521,Mise en œuvre du plan de gestion de la Réserve Naturelle Nationale de Moëze-Oléron : actions d’investissement et d’intervention,LIGUE FRANCAISE PROTECTION OISEAUX, 11 772.00,14309615,DREAL
2104442829,Elever des hamsters communs pour les renforcements des populations sauvages,SAUVEGARDE DE LA FAUNE SAUVAGE, 16 762.00,16373150,DREAL
2104443316,"Gestion responsable, concertée et durable de l'aire protégée de l'îlot de M'tsamboro",AGIR POUR LE DEVELOPPEMENT INTEGRE, 75 846.40,11884835,DREAL
2104443373,Réduction des pressions liées à l'agriculture sur les pies-grièches et la biodiversité,CONSERVATOIRE D ESPACES NATUREL, 123 995.12,18477667,DREAL
2104443497,Extension de la Réserve Naturelle Nationale des marais de Séné : actualisation des connaissances faune-flore et évaluation du 2015-2024,BRETAGNE VIVANTE SEPNB, 98 801.00,17871158,DREAL
2104446154,"Protéger efficacement les communautés d’espèces animales et leurs habitats grâce à des actions concrètes, concertées, fédératives et intégratives",GROUPE ORNITHOLOGIQUE ET NATURALIST, 100 000.00,16866899,DREAL
2104446154,"Protéger efficacement les communautés d’espèces animales et leurs habitats grâce à des actions concrètes, concertées, fédératives et intégratives",GROUPE ORNITHOLOGIQUE ET NATURALIST, 300 000.00,16866899,DREAL
2104446154,"Protéger efficacement les communautés d’espèces animales et leurs habitats grâce à des actions concrètes, concertées, fédératives et intégratives",GROUPE ORNITHOLOGIQUE ET NATURALIST, 100 000.00,16866899,DREAL
2104446687,GESTION DES ESPECES EXOTIQUES ENVAHISSANTES SUR LE TERRITOIRE DE LA CC DE LA HAUTE SOMME,CC HAUTE SOMME, 672 710.00,16655337,DREAL
2104446857,Liste Rouge AuRA des abeilles,ARTHROPOLOGIA, 250 000.00,16340485,DREAL
2104446860,ENS PUY D'AUBIERE,AUBIERE, 30 312.00,16331238,DREAL
2104446862,Sylvae : réseau de vieilles forêts en Auvergne - animation transversale 2024,CONSERVATOIRE D ESPACES NATURELS D, 13 860.00,16415017,DREAL
2104446865,Réserve naturelle nationale du val d'Allier - mise en oeuvre du plan de gestion et actions en faveur de l'ancrage territorial,LPO AUVERGNE RHONE-ALPES, 20 760.00,16599271,DREAL
2104446903,Installation de mouillages écologiques dans les eaux intérieures de l'île de RANGIROA (TUAMOTU),TERRITOIRE DE LA POLYNESIE FRANCAIS, 204 472.00,17516049,DREAL
2104447711,Brigade d'Intervention Maritime,L'ASSO-MER, 145 650.54,16722988,DREAL
